car_id,name,fueltype,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,enginesize,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
21,chevrolet vega 2300,gas,front,94.5,158.8,63.6,52.0,1909,ohc,90,3.11,9.6,70,5400,38,43,6575.0
22,dodge rampage,gas,front,93.7,157.3,63.8,50.8,1876,ohc,90,3.23,9.41,68,5500,37,41,5572.0
23,dodge challenger se,gas,front,93.7,157.3,63.8,50.8,1876,ohc,90,3.23,9.4,68,5500,31,38,6377.0
24,dodge d200,gas,front,93.7,157.3,63.8,50.8,2128,ohc,98,3.39,7.6,102,5500,24,30,7957.0
25,dodge monaco (sw),gas,front,93.7,157.3,63.8,50.6,1967,ohc,90,3.23,9.4,68,5500,31,38,6229.0
26,dodge colt hardtop,gas,front,93.7,157.3,63.8,50.6,1989,ohc,90,3.23,9.4,68,5500,31,38,6692.0
27,dodge colt (sw),gas,front,93.7,157.3,63.8,50.6,1989,ohc,90,3.23,9.4,68,5500,31,38,7609.0
28,dodge coronet custom,gas,front,93.7,157.3,63.8,50.6,2191,ohc,98,3.39,7.6,102,5500,24,30,8558.0
29,dodge dart custom,gas,front,103.3,174.6,64.6,59.8,2535,ohc,122,3.46,8.5,88,5000,24,30,8921.0
30,dodge coronet custom (sw),gas,front,95.9,173.2,66.3,50.2,2811,ohc,156,3.9,7.0,145,5000,19,24,12964.0
31,honda civic,gas,front,86.6,144.6,63.9,50.8,1713,ohc,92,3.41,9.6,58,4800,49,54,6479.0
32,honda civic cvcc,gas,front,86.6,144.6,63.9,50.8,1819,ohc,92,3.41,9.2,76,6000,31,38,6855.0
33,honda civic,gas,front,93.7,150.0,64.0,52.6,1837,ohc,79,3.07,10.1,60,5500,38,42,5399.0
34,honda accord cvcc,gas,front,93.7,150.0,64.0,52.6,1940,ohc,92,3.41,9.2,76,6000,30,34,6529.0
35,honda civic cvcc,gas,front,93.7,150.0,64.0,52.6,1956,ohc,92,3.41,9.2,76,6000,30,34,7129.0
36,honda accord lx,gas,front,96.5,163.4,64.0,54.5,2010,ohc,92,3.41,9.2,76,6000,30,34,7295.0
37,honda civic 1500 gl,gas,front,96.5,157.1,63.9,58.3,2024,ohc,92,3.41,9.2,76,6000,30,34,7295.0
38,honda accord,gas,front,96.5,167.5,65.2,53.3,2236,ohc,110,3.58,9.0,86,5800,27,33,7895.0
39,honda civic 1300,gas,front,96.5,167.5,65.2,53.3,2289,ohc,110,3.58,9.0,86,5800,27,33,9095.0
40,honda prelude,gas,front,96.5,175.4,65.2,54.1,2304,ohc,110,3.58,9.0,86,5800,27,33,8845.0
41,honda accord,gas,front,96.5,175.4,62.5,54.1,2372,ohc,110,3.58,9.0,86,5800,27,33,10295.0
42,honda civic,gas,front,96.5,175.4,65.2,54.1,2465,ohc,110,3.58,9.0,101,5800,24,28,12945.0
43,honda civic (auto),gas,front,96.5,169.1,66.0,51.0,2293,ohc,110,3.58,9.1,100,5500,25,31,10345.0
44,isuzu MU-X,gas,front,94.3,170.7,61.8,53.5,2337,ohc,111,3.23,8.5,78,4800,24,29,6785.0
45,isuzu D-Max ,gas,front,94.5,155.9,63.6,52.0,1874,ohc,90,3.11,9.6,70,5400,38,43,8916.5
46,isuzu D-Max V-Cross,gas,front,94.5,155.9,63.6,52.0,1909,ohc,90,3.11,9.6,70,5400,38,43,8916.5
47,isuzu D-Max ,gas,front,96.0,172.6,65.2,51.4,2734,ohc,119,3.23,9.2,90,5000,24,29,11048.0
48,jaguar xj,gas,front,113.0,199.6,69.6,52.8,4066,dohc,258,4.17,8.1,176,4750,15,19,32250.0
49,jaguar xf,gas,front,113.0,199.6,69.6,52.8,4066,dohc,258,4.17,8.1,176,4750,15,19,35550.0
50,jaguar xk,gas,front,102.0,191.7,70.6,47.8,3950,ohcv,326,2.76,11.5,262,5000,13,17,36000.0
51,maxda rx3,gas,front,93.1,159.1,64.2,54.1,1890,ohc,91,3.15,9.0,68,5000,30,31,5195.0
52,maxda glc deluxe,gas,front,93.1,159.1,64.2,54.1,1900,ohc,91,3.15,9.0,68,5000,31,38,6095.0
53,mazda rx2 coupe,gas,front,93.1,159.1,64.2,54.1,1905,ohc,91,3.15,9.0,68,5000,31,38,6795.0
54,mazda rx-4,gas,front,93.1,166.8,64.2,54.1,1945,ohc,91,3.15,9.0,68,5000,31,38,6695.0
55,mazda glc deluxe,gas,front,93.1,166.8,64.2,54.1,1950,ohc,91,3.15,9.0,68,5000,31,38,7395.0
56,mazda 626,gas,front,95.3,169.0,65.7,49.6,2380,rotor,70,3.255,9.4,101,6000,17,23,10945.0
57,mazda glc,gas,front,95.3,169.0,65.7,49.6,2380,rotor,70,3.255,9.4,101,6000,17,23,11845.0
58,mazda rx-7 gs,gas,front,95.3,169.0,65.7,49.6,2385,rotor,70,3.255,9.4,101,6000,17,23,13645.0
59,mazda glc 4,gas,front,95.3,169.0,65.7,49.6,2500,rotor,80,3.255,9.4,135,6000,16,23,15645.0
60,mazda 626,gas,front,98.8,177.8,66.5,53.7,2385,ohc,122,3.39,8.6,84,4800,26,32,8845.0
61,mazda glc custom l,gas,front,98.8,177.8,66.5,55.5,2410,ohc,122,3.39,8.6,84,4800,26,32,8495.0
62,mazda glc custom,gas,front,98.8,177.8,66.5,53.7,2385,ohc,122,3.39,8.6,84,4800,26,32,10595.0
63,mazda rx-4,gas,front,98.8,177.8,66.5,55.5,2410,ohc,122,3.39,8.6,84,4800,26,32,10245.0
64,mazda glc deluxe,diesel,front,98.8,177.8,66.5,55.5,2443,ohc,122,3.39,22.7,64,4650,36,42,10795.0
65,mazda 626,gas,front,98.8,177.8,66.5,55.5,2425,ohc,122,3.39,8.6,84,4800,26,32,11245.0
66,mazda glc,gas,front,104.9,175.0,66.1,54.4,2670,ohc,140,3.16,8.0,120,5000,19,27,18280.0
67,mazda rx-7 gs,diesel,front,104.9,175.0,66.1,54.4,2700,ohc,134,3.64,22.0,72,4200,31,39,18344.0
68,buick electra 225 custom,diesel,front,110.0,190.9,70.3,56.5,3515,ohc,183,3.64,21.5,123,4350,22,25,25552.0
69,buick century luxus (sw),diesel,front,110.0,190.9,70.3,58.7,3750,ohc,183,3.64,21.5,123,4350,22,25,28248.0
70,buick century,diesel,front,106.7,187.5,70.3,54.9,3495,ohc,183,3.64,21.5,123,4350,22,25,28176.0
71,buick skyhawk,diesel,front,115.6,202.6,71.7,56.3,3770,ohc,183,3.64,21.5,123,4350,22,25,31600.0
72,buick opel isuzu deluxe,gas,front,115.6,202.6,71.7,56.5,3740,ohcv,234,3.1,8.3,155,4750,16,18,34184.0
73,buick skylark,gas,front,96.6,180.3,70.5,50.8,3685,ohcv,234,3.1,8.3,155,4750,16,18,35056.0
74,buick century special,gas,front,120.9,208.1,71.7,56.7,3900,ohcv,308,3.35,8.0,184,4500,14,16,40960.0
75,buick regal sport coupe (turbo),gas,front,112.0,199.2,72.0,55.4,3715,ohcv,304,3.35,8.0,184,4500,14,16,45400.0
76,mercury cougar,gas,front,102.7,178.4,68.0,54.8,2910,ohc,140,3.12,8.0,175,5000,19,24,16503.0
77,mitsubishi mirage,gas,front,93.7,157.3,64.4,50.8,1918,ohc,92,3.23,9.4,68,5500,37,41,5389.0
78,mitsubishi lancer,gas,front,93.7,157.3,64.4,50.8,1944,ohc,92,3.23,9.4,68,5500,31,38,6189.0
79,mitsubishi outlander,gas,front,93.7,157.3,64.4,50.8,2004,ohc,92,3.23,9.4,68,5500,31,38,6669.0
80,mitsubishi g4,gas,front,93.0,157.3,63.8,50.8,2145,ohc,98,3.39,7.6,102,5500,24,30,7689.0
81,mitsubishi mirage g4,gas,front,96.3,173.0,65.4,49.4,2370,ohc,110,3.46,7.5,116,5500,23,30,9959.0
82,mitsubishi g4,gas,front,96.3,173.0,65.4,49.4,2328,ohc,122,3.46,8.5,88,5000,25,32,8499.0
83,mitsubishi outlander,gas,front,95.9,173.2,66.3,50.2,2833,ohc,156,3.86,7.0,145,5000,19,24,12629.0
84,mitsubishi g4,gas,front,95.9,173.2,66.3,50.2,2921,ohc,156,3.86,7.0,145,5000,19,24,14869.0
85,mitsubishi mirage g4,gas,front,95.9,173.2,66.3,50.2,2926,ohc,156,3.86,7.0,145,5000,19,24,14489.0
86,mitsubishi montero,gas,front,96.3,172.4,65.4,51.6,2365,ohc,122,3.46,8.5,88,5000,25,32,6989.0
87,mitsubishi pajero,gas,front,96.3,172.4,65.4,51.6,2405,ohc,122,3.46,8.5,88,5000,25,32,8189.0
88,mitsubishi outlander,gas,front,96.3,172.4,65.4,51.6,2403,ohc,110,3.46,7.5,116,5500,23,30,9279.0
89,mitsubishi mirage g4,gas,front,96.3,172.4,65.4,51.6,2403,ohc,110,3.46,7.5,116,5500,23,30,9279.0
90,Nissan versa,gas,front,94.5,165.3,63.8,54.5,1889,ohc,97,3.29,9.4,69,5200,31,37,5499.0
91,nissan gt-r,diesel,front,94.5,165.3,63.8,54.5,2017,ohc,103,3.47,21.9,55,4800,45,50,7099.0
92,nissan rogue,gas,front,94.5,165.3,63.8,54.5,1918,ohc,97,3.29,9.4,69,5200,31,37,6649.0
93,nissan latio,gas,front,94.5,165.3,63.8,54.5,1938,ohc,97,3.29,9.4,69,5200,31,37,6849.0
94,nissan titan,gas,front,94.5,170.2,63.8,53.5,2024,ohc,97,3.29,9.4,69,5200,31,37,7349.0
95,nissan leaf,gas,front,94.5,165.3,63.8,54.5,1951,ohc,97,3.29,9.4,69,5200,31,37,7299.0
96,nissan juke,gas,front,94.5,165.6,63.8,53.3,2028,ohc,97,3.29,9.4,69,5200,31,37,7799.0
97,nissan latio,gas,front,94.5,165.3,63.8,54.5,1971,ohc,97,3.29,9.4,69,5200,31,37,7499.0
98,nissan note,gas,front,94.5,170.2,63.8,53.5,2037,ohc,97,3.29,9.4,69,5200,31,37,7999.0
99,nissan clipper,gas,front,95.1,162.4,63.8,53.3,2008,ohc,97,3.29,9.4,69,5200,31,37,8249.0
100,nissan rogue,gas,front,97.2,173.4,65.2,54.7,2324,ohc,120,3.47,8.5,97,5200,27,34,8949.0
101,nissan nv200,gas,front,97.2,173.4,65.2,54.7,2302,ohc,120,3.47,8.5,97,5200,27,34,9549.0
102,nissan dayz,gas,front,100.4,181.7,66.5,55.1,3095,ohcv,181,3.27,9.0,152,5200,17,22,13499.0
103,nissan fuga,gas,front,100.4,184.6,66.5,56.1,3296,ohcv,181,3.27,9.0,152,5200,17,22,14399.0
104,nissan otti,gas,front,100.4,184.6,66.5,55.1,3060,ohcv,181,3.27,9.0,152,5200,19,25,13499.0
105,nissan teana,gas,front,91.3,170.7,67.9,49.7,3071,ohcv,181,3.27,9.0,160,5200,19,25,17199.0
106,nissan kicks,gas,front,91.3,170.7,67.9,49.7,3139,ohcv,181,3.27,7.8,200,5200,17,23,19699.0
107,nissan clipper,gas,front,99.2,178.5,67.9,49.7,3139,ohcv,181,3.27,9.0,160,5200,19,25,18399.0
108,peugeot 504,gas,front,107.9,186.7,68.4,56.7,3020,l,120,3.19,8.4,97,5000,19,24,11900.0
109,peugeot 304,diesel,front,107.9,186.7,68.4,56.7,3197,l,152,3.52,21.0,95,4150,28,33,13200.0
110,peugeot 504 (sw),gas,front,114.2,198.9,68.4,58.7,3230,l,120,3.19,8.4,97,5000,19,24,12440.0
111,peugeot 504,diesel,front,114.2,198.9,68.4,58.7,3430,l,152,3.52,21.0,95,4150,25,25,13860.0
112,peugeot 504,gas,front,107.9,186.7,68.4,56.7,3075,l,120,2.19,8.4,95,5000,19,24,15580.0
113,peugeot 604sl,diesel,front,107.9,186.7,68.4,56.7,3252,l,152,3.52,21.0,95,4150,28,33,16900.0
114,peugeot 504,gas,front,114.2,198.9,68.4,56.7,3285,l,120,2.19,8.4,95,5000,19,24,16695.0
115,peugeot 505s turbo diesel,diesel,front,114.2,198.9,68.4,58.7,3485,l,152,3.52,21.0,95,4150,25,25,17075.0
116,peugeot 504,gas,front,107.9,186.7,68.4,56.7,3075,l,120,3.19,8.4,97,5000,19,24,16630.0
117,peugeot 504,diesel,front,107.9,186.7,68.4,56.7,3252,l,152,3.52,21.0,95,4150,28,33,17950.0
118,peugeot 604sl,gas,front,108.0,186.7,68.3,56.0,3130,l,134,3.21,7.0,142,5600,18,24,18150.0
119,plymouth fury iii,gas,front,93.7,157.3,63.8,50.8,1918,ohc,90,3.23,9.4,68,5500,37,41,5572.0
120,plymouth cricket,gas,front,93.7,157.3,63.8,50.8,2128,ohc,98,3.39,7.6,102,5500,24,30,7957.0
121,plymouth fury iii,gas,front,93.7,157.3,63.8,50.6,1967,ohc,90,3.23,9.4,68,5500,31,38,6229.0
122,plymouth satellite custom (sw),gas,front,93.7,167.3,63.8,50.8,1989,ohc,90,3.23,9.4,68,5500,31,38,6692.0
123,plymouth fury gran sedan,gas,front,93.7,167.3,63.8,50.8,2191,ohc,98,3.23,9.4,68,5500,31,38,7609.0
124,plymouth valiant,gas,front,103.3,174.6,64.6,59.8,2535,ohc,122,3.46,8.5,88,5000,24,30,8921.0
125,plymouth duster,gas,front,95.9,173.2,66.3,50.2,2818,ohc,156,3.86,7.0,145,5000,19,24,12764.0
126,porsche macan,gas,front,94.5,168.9,68.3,50.2,2778,ohc,151,3.11,9.5,143,5500,19,27,22018.0
127,porcshce panamera,gas,rear,89.5,168.9,65.0,51.6,2756,ohcf,194,2.9,9.5,207,5900,17,25,32528.0
128,porsche cayenne,gas,rear,89.5,168.9,65.0,51.6,2756,ohcf,194,2.9,9.5,207,5900,17,25,34028.0
129,porsche boxter,gas,rear,89.5,168.9,65.0,51.6,2800,ohcf,194,2.9,9.5,207,5900,17,25,37028.0
130,porsche cayenne,gas,front,98.4,175.7,72.3,50.5,3366,dohcv,203,3.11,10.0,288,5750,17,28,31400.5
131,renault 12tl,gas,front,96.1,181.5,66.5,55.2,2579,ohc,132,3.9,8.7,90,5100,23,31,9295.0
132,renault 5 gtl,gas,front,96.1,176.8,66.6,50.5,2460,ohc,132,3.9,8.7,90,5100,23,31,9895.0
133,saab 99e,gas,front,99.1,186.6,66.5,56.1,2658,ohc,121,3.07,9.31,110,5250,21,28,11850.0
134,saab 99le,gas,front,99.1,186.6,66.5,56.1,2695,ohc,121,3.07,9.3,110,5250,21,28,12170.0
135,saab 99le,gas,front,99.1,186.6,66.5,56.1,2707,ohc,121,2.07,9.3,110,5250,21,28,15040.0
136,saab 99gle,gas,front,99.1,186.6,66.5,56.1,2758,ohc,121,3.07,9.3,110,5250,21,28,15510.0
137,saab 99gle,gas,front,99.1,186.6,66.5,56.1,2808,dohc,121,3.07,9.0,160,5500,19,26,18150.0
138,saab 99e,gas,front,99.1,186.6,66.5,56.1,2847,dohc,121,3.07,9.0,160,5500,19,26,18620.0
139,subaru,gas,front,93.7,156.9,63.4,53.7,2050,ohcf,97,2.36,9.0,69,4900,31,36,5118.0
140,subaru dl,gas,front,93.7,157.9,63.6,53.7,2120,ohcf,108,2.64,8.7,73,4400,26,31,7053.0
141,subaru dl,gas,front,93.3,157.3,63.8,55.7,2240,ohcf,108,2.64,8.7,73,4400,26,31,7603.0
142,subaru,gas,front,97.2,172.0,65.4,52.5,2145,ohcf,108,2.64,9.5,82,4800,32,37,7126.0
143,subaru brz,gas,front,97.2,172.0,65.4,52.5,2190,ohcf,108,2.64,9.5,82,4400,28,33,7775.0
144,subaru baja,gas,front,97.2,172.0,65.4,52.5,2340,ohcf,108,2.64,9.0,94,5200,26,32,9960.0
145,subaru r1,gas,front,97.0,172.0,65.4,54.3,2385,ohcf,108,2.64,9.0,82,4800,24,25,9233.0
146,subaru r2,gas,front,97.0,172.0,65.4,54.3,2510,ohcf,108,2.64,7.7,111,4800,24,29,11259.0
147,subaru trezia,gas,front,97.0,173.5,65.4,53.0,2290,ohcf,108,2.64,9.0,82,4800,28,32,7463.0
148,subaru tribeca,gas,front,97.0,173.5,65.4,53.0,2455,ohcf,108,2.64,9.0,94,5200,25,31,10198.0
149,subaru dl,gas,front,96.9,173.6,65.4,54.9,2420,ohcf,108,2.64,9.0,82,4800,23,29,8013.0
150,subaru dl,gas,front,96.9,173.6,65.4,54.9,2650,ohcf,108,2.64,7.7,111,4800,23,23,11694.0
151,toyota corona mark ii,gas,front,95.7,158.7,63.6,54.5,1985,ohc,92,3.03,9.0,62,4800,35,39,5348.0
152,toyota corona,gas,front,95.7,158.7,63.6,54.5,2040,ohc,92,3.03,9.0,62,4800,31,38,6338.0
153,toyota corolla 1200,gas,front,95.7,158.7,63.6,54.5,2015,ohc,92,3.03,9.0,62,4800,31,38,6488.0
154,toyota corona hardtop,gas,front,95.7,169.7,63.6,59.1,2280,ohc,92,3.03,9.0,62,4800,31,37,6918.0
155,toyota corolla 1600 (sw),gas,front,95.7,169.7,63.6,59.1,2290,ohc,92,3.03,9.0,62,4800,27,32,7898.0
156,toyota carina,gas,front,95.7,169.7,63.6,59.1,3110,ohc,92,3.03,9.0,62,4800,27,32,8778.0
157,toyota mark ii,gas,front,95.7,166.3,64.4,53.0,2081,ohc,98,3.03,9.0,70,4800,30,37,6938.0
158,toyota corolla 1200,gas,front,95.7,166.3,64.4,52.8,2109,ohc,98,3.03,9.0,70,4800,30,37,7198.0
159,toyota corona,diesel,front,95.7,166.3,64.4,53.0,2275,ohc,110,3.35,22.5,56,4500,34,36,7898.0
160,toyota corolla,diesel,front,95.7,166.3,64.4,52.8,2275,ohc,110,3.35,22.5,56,4500,38,47,7788.0
161,toyota corona,gas,front,95.7,166.3,64.4,53.0,2094,ohc,98,3.03,9.0,70,4800,38,47,7738.0
162,toyota corolla,gas,front,95.7,166.3,64.4,52.8,2122,ohc,98,3.03,9.0,70,4800,28,34,8358.0
163,toyota mark ii,gas,front,95.7,166.3,64.4,52.8,2140,ohc,98,3.03,9.0,70,4800,28,34,9258.0
164,toyota corolla liftback,gas,front,94.5,168.7,64.0,52.6,2169,ohc,98,3.03,9.0,70,4800,29,34,8058.0
165,toyota corona,gas,front,94.5,168.7,64.0,52.6,2204,ohc,98,3.03,9.0,70,4800,29,34,8238.0
166,toyota celica gt liftback,gas,front,94.5,168.7,64.0,52.6,2265,dohc,98,3.08,9.4,112,6600,26,29,9298.0
167,toyota corolla tercel,gas,front,94.5,168.7,64.0,52.6,2300,dohc,98,3.08,9.4,112,6600,26,29,9538.0
168,toyota corona liftback,gas,front,98.4,176.2,65.6,52.0,2540,ohc,146,3.5,9.3,116,4800,24,30,8449.0
169,toyota corolla,gas,front,98.4,176.2,65.6,52.0,2536,ohc,146,3.5,9.3,116,4800,24,30,9639.0
170,toyota starlet,gas,front,98.4,176.2,65.6,52.0,2551,ohc,146,3.5,9.3,116,4800,24,30,9989.0
171,toyota tercel,gas,front,98.4,176.2,65.6,52.0,2679,ohc,146,3.5,9.3,116,4800,24,30,11199.0
172,toyota corolla,gas,front,98.4,176.2,65.6,52.0,2714,ohc,146,3.5,9.3,116,4800,24,30,11549.0
173,toyota cressida,gas,front,98.4,176.2,65.6,53.0,2975,ohc,146,3.5,9.3,116,4800,24,30,17669.0
174,toyota corolla,gas,front,102.4,175.6,66.5,54.9,2326,ohc,122,3.54,8.7,92,4200,29,34,8948.0
175,toyota celica gt,diesel,front,102.4,175.6,66.5,54.9,2480,ohc,110,3.35,22.5,73,4500,30,33,10698.0
176,toyota corona,gas,front,102.4,175.6,66.5,53.9,2414,ohc,122,3.54,8.7,92,4200,27,32,9988.0
177,toyota corolla,gas,front,102.4,175.6,66.5,54.9,2414,ohc,122,3.54,8.7,92,4200,27,32,10898.0
178,toyota mark ii,gas,front,102.4,175.6,66.5,53.9,2458,ohc,122,3.54,8.7,92,4200,27,32,11248.0
179,toyota corolla liftback,gas,front,102.9,183.5,67.7,52.0,2976,dohc,171,3.35,9.3,161,5200,20,24,16558.0
180,toyota corona,gas,front,102.9,183.5,67.7,52.0,3016,dohc,171,3.35,9.3,161,5200,19,24,15998.0
181,toyota starlet,gas,front,104.5,187.8,66.5,54.1,3131,dohc,171,3.35,9.2,156,5200,20,24,15690.0
182,toyouta tercel,gas,front,104.5,187.8,66.5,54.1,3151,dohc,161,3.35,9.2,156,5200,19,24,15750.0
183,vokswagen rabbit,diesel,front,97.3,171.7,65.5,55.7,2261,ohc,97,3.4,23.0,52,4800,37,46,7775.0
184,volkswagen 1131 deluxe sedan,gas,front,97.3,171.7,65.5,55.7,2209,ohc,109,3.4,9.0,85,5250,27,34,7975.0
185,volkswagen model 111,diesel,front,97.3,171.7,65.5,55.7,2264,ohc,97,3.4,23.0,52,4800,37,46,7995.0
186,volkswagen type 3,gas,front,97.3,171.7,65.5,55.7,2212,ohc,109,3.4,9.0,85,5250,27,34,8195.0
187,volkswagen 411 (sw),gas,front,97.3,171.7,65.5,55.7,2275,ohc,109,3.4,9.0,85,5250,27,34,8495.0
188,volkswagen super beetle,diesel,front,97.3,171.7,65.5,55.7,2319,ohc,97,3.4,23.0,68,4500,37,42,9495.0
189,volkswagen dasher,gas,front,97.3,171.7,65.5,55.7,2300,ohc,109,3.4,10.0,100,5500,26,32,9995.0
190,vw dasher,gas,front,94.5,159.3,64.2,55.6,2254,ohc,109,3.4,8.5,90,5500,24,29,11595.0
191,vw rabbit,gas,front,94.5,165.7,64.0,51.4,2221,ohc,109,3.4,8.5,90,5500,24,29,9980.0
192,volkswagen rabbit,gas,front,100.4,180.2,66.9,55.1,2661,ohc,136,3.4,8.5,110,5500,19,24,13295.0
193,volkswagen rabbit custom,diesel,front,100.4,180.2,66.9,55.1,2579,ohc,97,3.4,23.0,68,4500,33,38,13845.0
194,volkswagen dasher,gas,front,100.4,183.1,66.9,55.1,2563,ohc,109,3.4,9.0,88,5500,25,31,12290.0
195,volvo 145e (sw),gas,front,104.3,188.8,67.2,56.2,2912,ohc,141,3.15,9.5,114,5400,23,28,12940.0
196,volvo 144ea,gas,front,104.3,188.8,67.2,57.5,3034,ohc,141,3.15,9.5,114,5400,23,28,13415.0
197,volvo 244dl,gas,front,104.3,188.8,67.2,56.2,2935,ohc,141,3.15,9.5,114,5400,24,28,15985.0
198,volvo 245,gas,front,104.3,188.8,67.2,57.5,3042,ohc,141,3.15,9.5,114,5400,24,28,16515.0
199,volvo 264gl,gas,front,104.3,188.8,67.2,56.2,3045,ohc,130,3.15,7.5,162,5100,17,22,18420.0
200,volvo diesel,gas,front,104.3,188.8,67.2,57.5,3157,ohc,130,3.15,7.5,162,5100,17,22,18950.0
201,volvo 145e (sw),gas,front,109.1,188.8,68.9,55.5,2952,ohc,141,3.15,9.5,114,5400,23,28,16845.0
202,volvo 144ea,gas,front,109.1,188.8,68.8,55.5,3049,ohc,141,3.15,8.7,160,5300,19,25,19045.0
203,volvo 244dl,gas,front,109.1,188.8,68.9,55.5,3012,ohcv,173,2.87,8.8,134,5500,18,23,21485.0
204,volvo 246,diesel,front,109.1,188.8,68.9,55.5,3217,ohc,145,3.4,23.0,106,4800,26,27,22470.0
205,volvo 264gl,gas,front,109.1,188.8,68.9,55.5,3062,ohc,141,3.15,9.5,114,5400,19,25,22625.0
